city_name,latitude,longitude,capital,population,country_id
Tokyo,35.6897,139.6922,1,37732000,72.0
Jakarta,-6.175,106.8275,1,33756000,66.0
Delhi,28.61,77.23,0,32226000,
Guangzhou,23.13,113.26,0,26940000,35.0
!mumbai,19.0761,72.8775,0,24973000,
Manila,14.5958,120.9772,1,24922000,109.0
Shanghai,31.1667,121.4667,0,24073000,35.0
Sao paulo,-23.55,-46.6333,0,23086000,25.0
Seoul,37.56,126.99,1,23016000,125.0
Mexico city,19.4333,-99.1333,1,21804000,91.0
Cairo,30.0444,31.2358,1,20296000,47.0
New york,40.6943,-73.9249,0,18972871,
Dhaka,23.7639,90.3889,1,18627000,15.0
Beijing,39.904,116.4075,1,18522000,35.0
Kolkata,22.5675,88.37,0,18502000,
Bangkok,13.7525,100.4942,1,18007000,135.0
Shenzhen,22.535,114.054,0,17619000,35.0
Moscow,55.7558,37.6178,1,17332000,113.0
Buenos aires,-34.5997,-58.3819,1,16710000,8.0
Lagos,6.455,3.3841,0,16637000,99.0
Istanbul,41.0136,28.955,0,16079000,139.0
Karachi,24.86,67.01,0,15738000,104.0
Bangalore,12.9789,77.5917,0,15386000,
Ho chi minh city,10.7756,106.7019,0,15136000,148.0
Osaka,34.6939,135.5022,0,15126000,72.0
Chengdu,30.66,104.0633,0,14645000,35.0
Tehran,35.6892,51.3889,1,14148000,67.0
Kinshasa,-4.325,15.3222,1,12836000,43.0
Rio de janeiro,-22.9111,-43.2056,0,12592000,25.0
Chennai,13.0825,80.275,0,12395000,
Xi'an,34.2667,108.9,0,12328000,35.0
Lahore,31.5497,74.3436,0,12306000,104.0
Chongqing,29.55,106.5069,0,12135000,35.0
Los angeles,34.1141,-118.4068,0,12121244,
Baoding,38.8671,115.4845,0,11860000,35.0
London,51.5072,-0.1275,1,11262000,
Paris,48.8567,2.3522,1,11060000,
Linyi,35.1041,118.3502,0,11018365,35.0
Dongguan,23.0475,113.7493,0,10646000,35.0
Hyderabad,17.385,78.4867,0,10494000,
Tianjin,39.1467,117.2056,0,10368000,35.0
Lima,-12.06,-77.0375,1,10320000,108.0
Wuhan,30.5872,114.2881,0,10251000,35.0
Nanyang,32.9987,112.5292,0,10013600,35.0
Hangzhou,30.25,120.1675,0,9523000,35.0
Foshan,23.0292,113.1056,0,9498863,35.0
Nagoya,35.1833,136.9,0,9197000,72.0
Taipei,25.0375,121.5625,1,9078000,133.0
Tongshan,34.261,117.1859,0,9083790,35.0
Luanda,-8.8383,13.2344,1,9051000,6.0
Zhoukou,33.625,114.6418,0,9026015,35.0
Ganzhou,25.8292,114.9336,0,8970014,35.0
Kuala lumpur,3.1478,101.6953,1,8911000,87.0
Heze,35.2333,115.4333,0,8795939,35.0
